aX,aY,aZ,gX,gY,gZ
0.311,-0.586,-2.203,-4.700,-87.219,41.321
0.284,-0.437,-2.139,11.658,-112.488,46.997
0.247,-0.335,-2.119,25.696,-136.597,49.255
0.200,-0.268,-2.069,34.546,-164.307,49.866
0.141,-0.205,-1.962,38.818,-195.984,50.537
0.074,-0.120,-1.814,38.147,-228.149,52.307
0.009,-0.067,-1.641,33.081,-258.545,53.040
-0.025,-0.058,-1.508,27.527,-286.316,52.856
-0.127,-0.030,-1.456,24.414,-311.462,54.749
-0.250,0.013,-1.349,24.231,-342.468,57.800
-0.399,0.060,-1.184,30.090,-378.052,59.753
-0.593,0.052,-1.018,40.955,-412.415,59.265
-0.817,-0.134,-0.909,54.077,-445.435,56.274
-1.138,-0.222,-0.817,73.181,-480.652,58.533
-1.445,0.009,-0.529,93.140,-524.048,71.899
-1.835,0.115,-0.004,109.680,-575.378,66.406
-2.130,0.133,0.883,117.981,-630.188,49.622
-2.283,0.312,2.259,129.578,-676.941,42.725
-2.087,0.825,3.609,167.908,-701.538,47.180
-1.603,1.234,4.000,210.571,-658.325,34.729
-1.151,1.055,4.000,228.271,-506.836,-21.118
-0.983,0.422,4.000,225.037,-308.655,-91.675
-0.874,-0.526,4.000,154.358,-172.974,-147.278
-0.765,-1.326,4.000,29.236,-116.943,-168.884
-0.604,-1.763,4.000,-89.966,-66.040,-154.785
-0.369,-1.768,4.000,-168.091,22.400,-118.774
-0.199,-1.640,4.000,-199.158,124.573,-79.285
-0.070,-1.449,3.892,-192.322,189.453,-45.959
-0.087,-1.158,3.412,-161.499,212.036,-14.954
0.116,-0.922,3.178,-118.530,223.328,10.620
-0.094,-0.342,2.658,-68.542,248.230,36.499
-0.204,0.198,2.123,-26.062,266.113,44.861
-0.255,0.790,2.175,13.489,245.911,38.818
-0.381,1.247,2.450,42.114,228.394,18.921
-0.467,1.262,2.628,43.152,239.197,-19.348
-0.532,0.592,2.674,23.926,263.245,-72.449
-0.574,-0.262,2.382,-1.038,303.894,-107.971
-0.593,-0.784,1.948,-27.283,345.703,-103.394
-0.578,-0.894,1.467,-43.945,377.319,-72.144
-0.543,-0.771,0.981,-52.429,399.475,-37.109
-0.523,-0.575,0.538,-55.359,411.865,-12.512
-0.512,-0.467,0.183,-57.007,416.504,-1.099
-0.535,-0.429,-0.090,-59.082,410.461,2.502
-0.521,-0.353,-0.328,-62.927,400.818,7.751
-0.497,-0.202,-0.546,-68.115,390.625,12.268
-0.466,0.006,-0.800,-70.251,382.202,10.742
-0.401,0.191,-1.093,-65.979,363.892,2.686
-0.304,0.298,-1.250,-56.702,331.116,-10.986
-0.171,0.299,-1.340,-43.030,295.227,-30.212
-0.069,0.189,-1.310,-26.184,261.536,-50.659
-0.032,-0.060,-1.268,-13.000,234.985,-69.092
0.010,-0.334,-1.401,2.625,222.656,-78.979
0.098,-0.561,-1.632,15.991,216.187,-78.369
0.190,-0.788,-1.873,15.381,205.750,-72.327
0.261,-0.944,-2.143,8.545,190.613,-61.462
0.349,-0.935,-2.386,1.587,169.067,-43.701
0.479,-1.060,-2.661,-0.244,138.794,-30.640
0.475,-1.162,-2.901,-2.014,101.196,-22.644
0.476,-1.054,-2.913,-5.615,46.814,-3.418
0.445,-0.874,-2.693,-6.531,-13.550,15.137
0.380,-0.665,-2.410,-4.150,-64.270,27.466
0.304,-0.455,-2.215,4.089,-99.976,35.339
0.197,-0.380,-2.106,11.475,-126.770,35.767
0.115,-0.399,-2.047,19.714,-153.992,34.424
0.071,-0.377,-1.949,29.785,-185.974,38.757
0.044,-0.292,-1.795,38.513,-219.849,46.143
0.020,-0.206,-1.640,43.640,-250.305,51.270
-0.029,-0.162,-1.497,45.471,-276.489,51.758
-0.071,-0.196,-1.453,47.180,-298.950,50.537
-0.154,-0.126,-1.340,47.668,-323.853,52.063
-0.286,-0.145,-1.283,49.683,-351.929,50.293
-0.457,-0.162,-1.252,52.612,-380.676,51.270
-0.692,-0.160,-1.167,56.458,-416.321,57.312
-0.996,-0.198,-1.037,63.904,-457.275,62.988
-1.348,-0.233,-0.731,77.515,-504.089,69.519
-1.746,-0.103,-0.098,98.877,-555.969,78.247
-2.122,0.272,0.837,127.441,-611.450,86.060
